               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11028,            0.018902,                   0,            0.030456,             0.40215,            0.044826,             0.01022,            0.084825,            0.015658,                   0,             0.07028,           0.0033022,           0.0033022
                   1,            0.078155,            0.016968,                   0,             0.22934,             0.30573,              0.1534,            0.044082,            0.070717,            0.011741,                   0,            0.040149,           0.0065041,           0.0065041
                   2,            0.070829,            0.014824,                   0,             0.35265,             0.31143,             0.24456,            0.063726,            0.070482,            0.010519,                   0,           0.0098856,           0.0095741,           0.0095741
                   3,            0.065726,            0.013341,                   0,             0.52281,             0.44728,             0.45542,             0.14596,            0.059054,            0.010808,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.062389,            0.012392,                   0,             0.58068,              0.5362,              0.5477,             0.19012,             0.05644,           0.0093818,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.058407,            0.012219,                   0,             0.63346,              0.5767,             0.60668,             0.20218,            0.053705,           0.0088464,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.057162,            0.011775,                   0,             0.67212,              0.6179,             0.65708,             0.24223,            0.050775,           0.0087861,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.056069,            0.011813,                   0,             0.66787,             0.60824,             0.64904,             0.23972,            0.050795,           0.0088125,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.054195,            0.011511,                   0,             0.67959,             0.64315,             0.67538,              0.2407,            0.049429,           0.0086735,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.053383,            0.010965,                   0,             0.71214,              0.6405,             0.69773,             0.24695,            0.050306,           0.0080757,                   0,            0.008416,            0.008416,            0.008416
                  10,             0.05203,            0.010916,                   0,             0.72296,             0.67527,             0.72407,             0.27018,            0.047548,            0.008027,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.052035,             0.01065,                   0,             0.75209,             0.69104,             0.75704,             0.29526,            0.046687,           0.0078603,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.050534,            0.010375,                   0,             0.77245,             0.72437,             0.77718,               0.306,            0.046124,           0.0076467,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.050548,            0.010395,                   0,             0.76778,             0.73226,             0.77842,             0.29625,            0.046449,           0.0075869,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.049425,            0.010056,                   0,             0.76492,              0.7324,             0.78835,             0.31171,            0.045492,           0.0074491,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.049038,            0.010329,                   0,             0.76204,             0.72543,              0.7701,             0.30667,            0.045456,           0.0077739,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.047863,           0.0099196,                   0,             0.79073,             0.77332,             0.81945,             0.33864,            0.043711,           0.0074545,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.048955,           0.0098121,                   0,             0.81728,             0.77419,             0.83868,             0.34053,             0.04374,           0.0072135,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.047493,           0.0094617,                   0,             0.80531,              0.7871,             0.83903,              0.3187,            0.044731,           0.0073953,                   0,            0.006634,            0.006634,            0.006634
